finance,natural_disaster,rate_economic_cond,own_or_rent,edu,race
About the same,Somewhat higher,Poor,Pay rent,Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black
About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Much better off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),Asian
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black
Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Black
Much worse off,Much higher,Poor,Pay rent,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Much lower,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Black
About the same,Much higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Black
Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Much worse off,Much higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Black
About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,Much lower,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Other
Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,Somewhat lower,Poor,Pay rent,No high school diploma or GED,White
Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Black
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Neither own nor pay rent,Some college or Associate's degree,Hispanic
Somewhat worse off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much lower,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,Somewhat higher,Good,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Hispanic
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much worse off,Much higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Other
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,Much higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,Black
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat lower,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian
Somewhat better off,About the same,Only fair,Pay rent,Some college or Associate's degree,Black
Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Black
Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
Much better off,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Much worse off,About the same,Poor,Pay rent,Some college or Associate's degree,Other
About the same,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Pay rent,No high school diploma or GED,Black
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Much lower,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Other
Much worse off,Much lower,Poor,Pay rent,Some college or Associate's degree,White
About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,Much lower,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Only fair,Pay rent,Some college or Associate's degree,Black
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Asian
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Good,Pay rent,Bachelor's degree or higher,White
Somewhat better off,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Pay rent,Some college or Associate's degree,Black
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Other
About the same,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Pay rent,No high school diploma or GED,White
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat better off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,Much higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Poor,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,Much lower,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),Black
About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Good,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Good,Neither own nor pay rent,Some college or Associate's degree,Black
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,No high school diploma or GED,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Poor,Pay rent,No high school diploma or GED,White
About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Poor,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Black
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,Somewhat higher,Poor,Neither own nor pay rent,Some college or Associate's degree,Black
Much worse off,About the same,Poor,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Black
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian
Somewhat worse off,Somewhat higher,Poor,Own your home free and clear (without a mortgage or loan),No high school diploma or GED,White
About the same,Somewhat higher,Only fair,Pay rent,Bachelor's degree or higher,White
Somewhat worse off,Somewhat higher,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Black
Somewhat worse off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Black
About the same,Much higher,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Much higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,Much higher,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Pay rent,Some college or Associate's degree,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Neither own nor pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much worse off,About the same,Poor,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Other
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Much lower,Good,Neither own nor pay rent,High school graduate (high school diploma or the equivalent GED),Black
About the same,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Black
Much worse off,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Black
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Hispanic
About the same,Much lower,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Somewhat higher,Poor,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Somewhat lower,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Black
Somewhat worse off,About the same,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Much worse off,Somewhat lower,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Hispanic
Somewhat worse off,Somewhat higher,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Black
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),Hispanic
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Other
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,Hispanic
Somewhat worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,Much higher,Poor,Pay rent,Some college or Associate's degree,White
Somewhat worse off,Much higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,Much higher,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat better off,About the same,Good,Pay rent,Bachelor's degree or higher,Asian
About the same,Somewhat higher,Poor,Pay rent,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Only fair,Pay rent,Bachelor's degree or higher,White
Somewhat better off,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,Black
Somewhat worse off,Somewhat higher,Only fair,Pay rent,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Much worse off,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Good,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Asian
About the same,Somewhat higher,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much better off,About the same,Good,Pay rent,Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Only fair,Neither own nor pay rent,Bachelor's degree or higher,White
Somewhat worse off,About the same,Poor,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),White
About the same,Somewhat higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,Other
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,Black
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Much better off,About the same,Good,Own your home with a mortgage or loan,Some college or Associate's degree,Black
About the same,About the same,Poor,Own your home with a mortgage or loan,Some college or Associate's degree,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
About the same,About the same,Poor,Own your home free and clear (without a mortgage or loan),Bachelor's degree or higher,White
Somewhat worse off,Much higher,Good,Own your home with a mortgage or loan,Bachelor's degree or higher,White
Somewhat better off,Somewhat higher,Good,Own your home with a mortgage or loan,High school graduate (high school diploma or the equivalent GED),Hispanic
About the same,Somewhat higher,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,White
About the same,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,Asian
About the same,About the same,Only fair,Own your home with a mortgage or loan,Bachelor's degree or higher,Hispanic
Much worse off,Much lower,Poor,Own your home free and clear (without a mortgage or loan),High school graduate (high school diploma or the equivalent GED),White
Somewhat worse off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
Somewhat worse off,About the same,Only fair,Own your home with a mortgage or loan,Some college or Associate's degree,White
Somewhat better off,About the same,Only fair,Own your home free and clear (without a mortgage or loan),Some college or Associate's degree,White
